Address,Affiliated upto,Affiliation No.,Email,Head,Name,Phone No.,State,Status
"PO BERMO DISTT BOKARO JHARKHAND ,829104",31/03/2018,3430058,bharatsinghpublicschoolbermo@gmail.com,DR MRIDUL RAKESH KUMAR SINGH,BHARAT SINGH PUBLIC SCHOOL,"6549 ,222387",JHARKHAND,Secondary School
"PO BUNDU DIST RANCHI ,835204",01/03/2020,3430265,principal.rawat64@gmail.com,DHARMENDRA RAWAT,"BIRSA MUNDA D.A.V. RESIDENTIAL PUBLIC SCHOOL,","0 ,9430196887",JHARKHAND,Secondary School
"TURIA BERA BHILAI PAHARI, MANGO, JAMSHEDPUR ,831012",31/03/2019,3430300,principaljsr@gmail.com,Subra Sarkar,BLUE BELLS ENGLISH HIGH SCHOOL,"0657 ,6060200",JHARKHAND,Senior Secondary
"garhwa ,822114",31/03/2018,3430247,tiwaryamitabps@gmail.com,AMIT KUMAR TIWARY,bnt st. mary's school,"6561 ,222278",JHARKHAND,Secondary School
"SECTOR II C BOKARO STEEL CITY JHARKHAND ,827001",31/03/2018,3430059,rabindrajha70@gmail.com,Rabindra Jha,BOKARO ISPAT SR SEC SCHOOL,"6542 ,286792",JHARKHAND,Senior Secondary
"SECTOR III BOKARO STEEL CITY JHARKHAND ,827003",31/03/2018,3430060,BSLBISSS3@GMAIL.COM,PRAMOD KUMAR,BOKARO ISPAT SR SEC SCHOOL,"6542 ,266399",JHARKHAND,Senior Secondary
"SECTOR IX E BOKARA STEEL CITY JHARKHAND ,827009",31/03/2018,3430088,sps.kd.2094@gmail.com,S P SINGH,BOKARO ISPAT SR SEC SCHOOL,"6542 ,296817",JHARKHAND,Senior Secondary
"sect-viii b bokaro steel city jharkhand ,827009",31/03/2019,3430077,tarunkumarghosh43@gmail.com,Tarun Kumar Ghosh,bokaro ispat sr. sec. school,"6542 ,262004",JHARKHAND,Senior Secondary
"SECTOR-II A P.O. BOKARO STEEL CITY JHARKHAND ,827001",31/03/2014,3430078,info@tccsngp.org,SH. KASHI NATH GOSWAMI,BOKARO ISPAT VIDYALAYA,",7814",JHARKHAND,Secondary School
"SECTOR-VIII C BOKARO STEEL CITY JHARKHAND ,827009",31/03/2018,3430079,krishnakumaribsbv@gmail.com,DR K KUMARI,BOKARO ISPAT VIDYALAYA,"6542 ,287788",JHARKHAND,Secondary School
"SECTOR-XI D BOKARO STEEL CITY JHARKHAND ,827009",31/03/2018,3430080,principalbiv11d@gmail.com,DEVENDRA PANDA,BOKARO ISPAT VIDYALAYA,"6542 ,260262",JHARKHAND,Senior Secondary
"sect-xii e bokaro steel city jharkhand ,827012",31/03/2019,3430081,biv12e@gmail.com,MANOJ KUMAR MISHRA,bokaro ispat vidyalaya,"6542 ,81357",JHARKHAND,Secondary School
"SECTOR-IX-C BOKARO STEEL CITY JHARKHAND ,827009",31/03/2019,3430082,dhirendrapsinha@gmail.com,DHIRENDRA PRASAD SINHA,BOKARO ISPAT VIDYALAYA,"6542 ,240227",JHARKHAND,Secondary School
"SECTOR-IV A BOKARO STEEL PLANT JHARKHAND ,827004",31/03/2019,3430083,jks04051959@gmail.com,JAINENDRA KUMAR SINGH,BOKARO ISPAT VIDYALAYA,"6542 ,287788",JHARKHAND,Secondary School
"SECTOR XII A BOKARO STEEL CITY JHARKHAND ,827012",31/03/2013,3430061,anpal@md3.vsnl.net.in,MR M SANKARA NARAYANAN,BOKARO ISPAT VIDYALAYA,"06542 ,7814",JHARKHAND,Secondary School
"SECTOR III A BOKARO STEEL CITY JHARKHAND ,827003",31/03/2018,3430062,biv3a.bsl.edu.in@gmail.com,PRABHA M NAIR,BOKARO ISPAT VIDYALAYA,"6542 ,287788",JHARKHAND,Secondary School
"SECTOR I C BOKARO STEEL CITY JHARKHAND ,827001",31/03/2018,3430064,keya.moyna@gmail.com,SUKANYA BANDOPADHYAY,BOKARO ISPAT VIDYALAYA,"0 ,0",JHARKHAND,Secondary School
"SECTOR IX D BOKARO STEEL CITY JHARKHAND ,827009",31/03/2018,3430065,usdwivedybiv3a@gmail.com,UDAY SHANKAR DWIVEDI,BOKARO ISPAT VIDYALAYA,"6542 ,287743",JHARKHAND,Secondary School
"SECTOR VIII D BOKARO STEEL CITY JHARKHAND ,827009",31/03/2018,3430066,shekhar296@gmail.com,CHANDRA SHEKHAR AZAD,BOKARO ISPAT VIDYALAYA,"6542 ,287742",JHARKHAND,Secondary School
"SECTOR VI A BOKARO STEEL CITY JHARKHAND ,827006",31/03/2018,3430067,biswaldp12@gmail.com,DURGA PRASAD BISWAL,BOKARO ISPAT VIDYALAYA,"6542 ,266399",JHARKHAND,Secondary School
"SECTOR II D BOKARO STEEL CITY JHARKHAND ,827001",31/03/2018,3430063,skpandey2b@gmail.com,SHASHI KANT PANDEY,BOKARO ISPAT VIDYALAYA,"6542 ,220137",JHARKHAND,Secondary School
"SECTOR 3-C BOKARO STEEL CITY DISTT BOKARO JHARKHAND ,827003",31/03/2017,3430197,shekhar.sudha.01@gmail.com,SUDHA SHEKHAR,BOKARO PUBLIC SCHOOL,"6452 ,243195",JHARKHAND,Senior Secondary
"PO HATIA PS HATIA DISTT RANCHI JHARKHAND ,834003",31/03/2019,3430177,schitlangia@yahoo.co.in,SEEMA CHITLANGIA,BRIDGEFORD SCHOOL,"0651 ,6999444",JHARKHAND,Senior Secondary
"by pass road, daltonganj ,822101",31/03/2017,3430294,rahul.mailaddress@gmail.com,Rahul Kumar Singh,bright land school,"0656 ,2222862",JHARKHAND,Secondary School
"bhandaridah distt bokaro jharkhand ,829132",31/03/2023,3430097,hazra_ss1996@rediffmail.com,SHYAM SUNDAR HAZRA,brl dav public school,"6549 ,239243",JHARKHAND,Senior Secondary
"DALUDIH, PO+PS-RAJGANJ, BAGHMARA, DHANBAD, JHARKHAND ,828113",31/03/2018,3430311,pramod.buds@gmail.com,PRAMOD KUMAR,BUDS GARDEN SCHOOL,"0326 ,8539993608",JHARKHAND,Secondary School
"RADIO STATION ROAD, KATHITAND PO-RATU ,835222",31/03/2019,3430290,sanjeevhehal@gmail.com,SANJEEV KUMAR MISHRA,CAMBRIAN PUBLIC SCHOOL,"0651 ,8987483555",JHARKHAND,Senior Secondary
"KANKE ROAD RANCHI JHARKHAND ,834008",31/03/2019,3430087,neetap316@gmail.com,NEETA PANDEY,CAMBRIAN PUBLIC SCHOOL,"0651 ,6571482",JHARKHAND,Senior Secondary
"TATISILWAI RANCHI JHARKHAND ,835103",31/03/2022,3430200,principal@cambridgeschoolranchi.com,TAPAS KUMAR NATH,CAMBRIDGE SCHOOL,"0651 ,2265608",JHARKHAND,Senior Secondary
"AT & POST - ICHAK ,825402",31/03/2019,3430336,gsb_cba@rediffmail.com,Ganesh Shankar Bidyarthi,CAMPION BASIC ACADEMY,"6548 ,285273",JHARKHAND,Secondary School
"Carmel School Kargali PO - Bermo, Dist - Bokaro, Jharkhand ,829104",31/03/2019,3430326,anjali98.chf@gmail.com,Jessy PC,Carmel School Kargali,"6549 ,220596",JHARKHAND,Secondary School
"BARIATU ROAD RANCHI JHARKHAND ,834009",31/03/2019,3430036,annakutty121@gmail.com,ANNAKUTTY,CENTRAL ACADEMY,"0651 ,2541110",JHARKHAND,Senior Secondary
"MAIN ROAD, ADITYPUR, DOSTT. SERAIKELA-KHARSAWAN, DISTT WEST SINGHBHUM, JHARKHAND ,831013",31/03/2022,3430213,shivshankarjsr2012@gmail.com,SHIV SHANKAR DEY,CENTRAL PUBLIC SCHOOL,"0657 ,2372803",JHARKHAND,Senior Secondary
"P O CHASNALLA DHANBAD DISTT JHARKHAND ,828135",31/03/2018,3430026,ajit.kumar.principal@gmail.com,AJIT KUMAR,CHASNALLA ACADEMY,"0326 ,62385171",JHARKHAND,Senior Secondary
"sect v bokaro steel city bokaro jharkhand ,827006",31/03/2018,3430013,principalcvbokaro@gmail.com,ASHOK SINGH,Chinmaya Vidyalaya,"6542 ,269609",JHARKHAND,Senior Secondary
"SOUTH PARK, BISTUPUR,EAST SINGHBHUM ,831001",31/03/2021,3430243,mikkisingh77@gmail.com,Mikki Singh,"CHINMAYA VIDYALAYA, SOUTHPARK","0657 ,6573061",JHARKHAND,Senior Secondary
"SECT VI BOKARO STEEL CITY JHARKHAND ,827006",31/03/2016,3430189,anil.crescent@yahoo.com,Anil Kumar Gupta,CRESCENT PUBLIC SCHOOL,"6542 ,268696",JHARKHAND,Senior Secondary
"BANIAHIR LODNA AREA P.O. BHAGA DISTT. DHANBAD JHARKHAND ,828301",31/03/2020,3430068,subratomodak@gmail.com,SUBRATA MODAK,D A V CENTENARY PUBLIC SCHOOL,"0326 ,2361439",JHARKHAND,Senior Secondary
"BHAWANATHPUR TOWNSHIP DISTT. GARHWA JHARKHAND ,822129",31/03/2022,3430072,drrksingh314@gmail,RAMESH KUMAR SINGH,D A V CENTENARY PUBLIC SCHOOL,"6563 ,233637",JHARKHAND,Senior Secondary
"KHALARI RANCHI DISTT JHARKHAND ,829205",31/03/2019,3430008,talk2ukp@gmail.com,U K Parashar,D A V CO-OPERATIVE SR SEC SCHOOL,"6531 ,246234",JHARKHAND,Senior Secondary
"NEW AG COLONY KADRU RANCHI JHARKHAND ,834002",31/03/2019,3430099,davkadru_402@yahoo.co.in,RAM BINOD SHARMA,D A V KAPIL DEV PUBLIC SCHOOL,"0651 ,655330",JHARKHAND,Senior Secondary
"C F R I P.O. F R I DHANBAD DISTT JHARKHAND ,828108",31/03/2018,3430028,nnsrivastavadnb@yahoo.com,N N SRIVASTAVA,D A V MODEL SCHOOL,"0326 ,2381158",JHARKHAND,Senior Secondary
"CENTRAL COLONY DHORI P O PHUSRO BAZAR BOKARO DISTT JHARKHAND ,829144",31/03/2020,3430029,dav_dhori@yahoo.com,SATYENDRA KUMAR,D A V PUBLIC SCHOOL,"6549 ,220249",JHARKHAND,Senior Secondary
"ARA KUJU AREA P O SARUBERA HAZARIBAGH DISTT JHARKHAND ,829134",31/03/2018,3430030,davarakuju@gmail.com,RAJESH KUMAR ROY,D A V PUBLIC SCHOOL,"6545 ,267170",JHARKHAND,Senior Secondary
"RAJRAPPA PROJECT P O HAZARIBAGH DISTT JHARKHAND ,829210",31/03/2020,3430031,davrrp@gmail.com,HIMANSHU KUMAR JHA,D A V PUBLIC SCHOOL,"0 ,9234300963",JHARKHAND,Senior Secondary
"SECTOR-III DHURWA RANCHI JHARKHAND ,834004",31/03/2020,3430018,davdhurwa4@gmail.com,Bindeshwar Choudhary,D A V PUBLIC SCHOOL,"0651 ,6560335",JHARKHAND,Senior Secondary
"KUSUNDA COLLIERY AREA 6 P O KUSUNDA DHANBAD DISTT JHARKHAND ,828116",31/03/2022,3430019,pplkusunda@gmail.com,UDAY SHANKAR PANDEY,D A V PUBLIC SCHOOL,"0326 ,2330025",JHARKHAND,Senior Secondary
"ACC JHINKPANI DISTT SINGHBHUM JHARKHAND ,833215",31/03/2018,3430049,rksinha68patna@gmail.com,R K SINHA,D A V PUBLIC SCHOOL,"0658 ,235254",JHARKHAND,Senior Secondary
"MOONIDIH PROJECT P O MOONIDIH DHANBAD JHARKHAND ,828129",31/03/2019,3430041,mpsinghmath@gmail.com,MAHENDRA PRASAD SINGH,D A V PUBLIC SCHOOL,"0326 ,2273337",JHARKHAND,Senior Secondary
"N T S BARKAKANA DISTT. RAMGARH, JHARKHAND ,829103",31/03/2021,3430069,urmilasingh.dav@gmail.com,URMILA SINGH,D A V PUBLIC SCHOOL,"091 ,8092196603",JHARKHAND,Senior Secondary
"ITKI ROAD PO HEHAL RANCHI JHARKHAND ,834005",31/03/2018,3430071,davhehalranchi@yahoo.com,TARA PADA PATI,D A V PUBLIC SCHOOL,"0651 ,6900480",JHARKHAND,Senior Secondary
"P O SAWANG COLLIERY DISTT. BOKARO JHARKHAND ,829128",31/03/2020,3430094,dav.sawang@gmail.com,Achyuta Nand Routaray,D A V PUBLIC SCHOOL,"6544 ,261228",JHARKHAND,Senior Secondary
"E C L RAJMAHAL AREA URJANAGAR PO MAHAGAMA DISTT. GODDA JHARKHAND ,814154",31/03/2019,3430095,davurjanagar@gmail.com,B P YADAV,D A V PUBLIC SCHOOL,"6437 ,228327",JHARKHAND,Senior Secondary
"CENTRAL COAL FIELDS LTD. GIRIDIH P.O. BANIADIH DISTT. GIRIDIH JHARKHAND ,815311",31/03/2020,3430074,davcclgrd@gmail.com,BHAIYA ABHINAV KUMAR,D A V PUBLIC SCHOOL,"6532 ,222307",JHARKHAND,Senior Secondary
"BARORA (BCCL) PO NAWAGARH DT DHANBAD JHARKHAND ,828306",31/03/2020,3430108,skdav1967@gmail.com,Sunil Kumar,D A V PUBLIC SCHOOL,"0326 ,2393652",JHARKHAND,Senior Secondary
"TAPIN NORTH (R R W) P.O. TAPIN DISTT. HAZARIBAGH JHARKHAND ,825326",31/03/2016,3430113,DAVPSTAPIN_NORTH@YAHOO.COM,DR RANI JAISWAL,D A V PUBLIC SCHOOL,"6546 ,231001",JHARKHAND,Senior Secondary
"p o 71 canary hill road hazaribagh jharkhand ,825301",31/03/2018,3430127,akumar267345@gmail.com,ASHOK KUMAR,d a v public school,"6546 ,260345",JHARKHAND,Senior Secondary
"MAHUDA P O MAHUDA DISTT DHANBAD JHARKHAND ,828305",31/03/2020,3430131,ashokamitgolu@gmai.com,ASHOK KUMAR SINGH,D A V PUBLIC SCHOOL,"0091 ,9234364809",JHARKHAND,Secondary School
"RMD(SAIL) PO GUA DISTT SINGHBHUM JHARKHAND ,833213",31/03/2009,3430120,n.pasayat.dav@gmail.com,NAGESWAR PASAYAT,D A V PUBLIC SCHOOL,"6596 ,263163",JHARKHAND,Senior Secondary
"R I T CAMPUS ADITYAPUR DISTT. SINGHBHUM WEST JHARKHAND ,831014",31/03/2022,3430139,opmishra709@gmail.com,OM PRAKASH MISHRA,D A V PUBLIC SCHOOL,"0657 ,2372782",JHARKHAND,Senior Secondary
"ALKUSA COLLIERY P O KUSUNDA DHANBAD JHARKHAND ,828116",31/03/2008,3430003,sanjayksinha.6216@gmail.com,SANJAY KUMAR SINHA,D A V PUBLIC SCHOOL,"0326 ,2332617",JHARKHAND,Senior Secondary
"PATRATU THERMAL POWER STATION PATRATU DISTT HAZARIBAGH JHARKHAND ,829119",31/03/2019,3430202,shivratnaprasad@gmail.com,SHIV RATNA PRASAD,D A V PUBLIC SCHOOL,"91 ,7781968215",JHARKHAND,Secondary School
"sect iv bokaro steel city bokaro distt jharkhand ,827004",31/03/2019,3430010,davbokaro@yahoo.co.in,ARUN KUMAR,d a v public school,"6542 ,232034",JHARKHAND,Senior Secondary
"KATHARA C C L P O KATHARA DISTT BOKARO JHARKHAND ,829116",31/03/2014,3430076,davkatharamk@gmail.com,DR MANOJ KUMAR,D A V PUBLIC SCHOOL,"6549 ,235346",JHARKHAND,Senior Secondary
"BARIATU ROAD RANCHI JHARKHAND ,834009",31/03/2020,3430117,vksranchi123@gmail.com,VIJAY KUMAR SINGH,D A V PUBLIC SCHOOL,"0651 ,2541191",JHARKHAND,Senior Secondary
"ECL CHITRA PO CHITRA VIA JAMTARA DISTT DISTT. B DEOGHAR JHARKHAND ,815351",31/03/2021,3430130,reajsingh89@gmail.com,AJAY KUMAR SINGH,D A V PUBLIC SCHOOL,"0 ,0",JHARKHAND,Senior Secondary
"GAYA ROAD, BABHNE ,825401",31/03/2021,3430280,syedejazahmed66@gmail.com,SYED EJAZ AHMED,D A V PUBLIC SCHOOL,"6541 ,254578",JHARKHAND,Secondary School
"VILL.- CHANDAGHASI, P.O.- TETARI, HATIA, P.S.- JAGGARNATHPUR, RANCHI-03. ,834003",31/03/2022,3430264,nilam.anant@gmail.com,NILAM SINGH,D.A.V. NAGESHWAR PUBLIC SCHOOL,"0651 ,6455442",JHARKHAND,Senior Secondary
"NEEMTOLI(BEHIND POLICE LINE), LOHARDAGA ROAD, DISTT GUMLA, JHARKHAND ,835207",31/03/2018,3430219,davgumla@gmail.com,DILIP KUMAR MAHATO,"D.A.V. PUBLIC SCHOOL, GUMLA","6524 ,9472785092",JHARKHAND,Senior Secondary
"D.A.V. PUBLIC SCHOOL SEC-VI, BOKARO STEEL CITY - 827 006 (JHARKHAND) ,827006",31/03/2021,3430244,neelkamalsinha@gmail.com,NEELKAMAL SINHA,"D.A.V. PUBLIC SCHOOL,SEC-VI","6542 ,068894",JHARKHAND,Senior Secondary
"ARGORA NAYA SARAI RAOD, PUNDAG TEH RATU RANCHI DISTT RANCHI JHARKHAND ,834004",31/03/2020,3430183,dr.ashokkumar190@gmail.com,ASHOK KUMAR,DAV ALOK PUBLIC SCHOOL,"0651 ,2243263",JHARKHAND,Senior Secondary
"PO Neori Vikas,Near BIT, Mesra ,835217",31/03/2016,3430289,davjh069@gmail.com,Mrs.Manju Roy Bhattacharya,"DAV International School , Mesra,Ranchi",",651-2544550",JHARKHAND,Secondary School
"BOOTY ROAD VILLAGE GARI UNDVI PS SADAR DISTT RANCHI JHARKHAND ,800018",31/03/2019,3430154,gkaur1961@gmail.com,GURMEET KAUR,DAV NANDRAJ PUBLIC SCHOOL,"0651 ,2545489",JHARKHAND,Senior Secondary
"GOKULPUR PAKUR DISTT PAKUR JHARKHAND ,816107",31/03/2019,3430152,dav_pakur@yahoo.com,VIJAY KUMAR,DAV PUBLIC SCHOOL,"6435 ,223399",JHARKHAND,Senior Secondary
"PO DUGDA DISTT BOKARO JHARKHAND ,828404",31/03/2020,3430146,davdugda@gmail.com,ANIL KUMAR PANDEY,DAV PUBLIC SCHOOL,"6549 ,244361",JHARKHAND,Senior Secondary
"KOYLA NAGAR DHANBAD JHARKHAND ,826005",31/03/2018,3430148,kcsdav@gmail.com,KAILASH CHANDRA SRIVASTAVA,DAV PUBLIC SCHOOL,"0326 ,2230715",JHARKHAND,Senior Secondary
"CONTRACTOR AREA ROAD NO. 4 BISTUPUR JAMSHEDPUR JHARKHAND ,831001",31/03/2019,3430135,principal@davbistupur.org,PRAGYA SINGH,DAV PUBLIC SCHOOL,"0657 ,2226745",JHARKHAND,Senior Secondary
"URIMARI SAYAL PO SAYAL DISTT HAZARIBAGH JHARKHAND ,829125",31/03/2022,3430172,davps.urimari@yahoo.com,UTTAM KUMAR ROY,DAV PUBLIC SCHOOL,"91 ,9431990125",JHARKHAND,Senior Secondary
"MANOHARPUR ORE MINE TISCO SAIL AT/PO CHIRIA SINGHBHUM JHARKHAND ,333106",31/03/2018,3430173,skj.dav@gmail.com,SANJAY KUMAR JHA,DAV PUBLIC SCHOOL,"6593 ,290008",JHARKHAND,Secondary School
"GANDHI NAGAR CCL RANCHI JHARKHAND ,834008",31/03/2019,3430103,davgandhinagar@gmail.com,SUNIL KUMAR SINHA,DAV PUBLIC SCHOOL,"0651 ,2231183",JHARKHAND,Senior Secondary
"KEDLA CCL P O KEDLA DISTT HAZARIBAGH JHARKHAND ,825325",31/03/2020,3430105,npyadav1963@gmail.com,NAKUL PRASAD YADAV,DAV PUBLIC SCHOOL,"0 ,9234300971",JHARKHAND,Senior Secondary
"TENUGHAT THERMAL POWER STATION P.O.LALPANIA DISTT.BOKARO JHARKHAND ,829149",31/03/2019,3430106,jhaarun001@gmail.com,ARUN KUMAR JHA,DAV PUBLIC SCHOOL,"0654 ,4225453",JHARKHAND,Senior Secondary
"TISCO P.O. NOAMUNDI DISTT SINGHBHUM (WEST) JHARKHAND ,833217",31/03/2020,3430056,tkmishra20@gmail.com,TARUN KUMAR MISHRA,DAV PUBLIC SCHOOL,"6596 ,233003",JHARKHAND,Senior Secondary
"SUR VIHAR COLONY PIPARWAR AREA CCL PO BACHRA DISTT CHATRA JHARKHAND ,829201",31/03/2022,3430185,davrajeevranjan@gmail.com,RAJEEV RANJAN JHA,DAV PUBLIC SCHOOL,"6531 ,260376",JHARKHAND,Senior Secondary
"AT TUKYPANI SIMDEGA PO PONDRIPURI DISTT SIMDEGA JHARKHAND ,835223",31/03/2022,3430178,anilmath.88@rediffmail.com,ANIL KUMAR SINHA,DAV PUBLIC SCHOOL,"6525 ,290076",JHARKHAND,Senior Secondary
"NEAR SDO OFFICE, G.T ROAD, BARHI ,825405",31/03/2019,3430330,ashokkumarsingh7211@gmail.com,ASHOK KUMAR SINGH,DAV PUBLIC SCHOOL,"6543 ,266587",JHARKHAND,Secondary School
"Tenughat Dam PO - Tenughat, Dist.-Bokaro ,829123",31/03/2020,3430319,davps_tenughat@rediffmail.com,ARCHANA MISHRA,"DAV Public School,","0654 ,230460",JHARKHAND,Senior Secondary
"Rangamatia, Sindri Dhanbad ,828122",31/03/2020,3430246,ashutoshmairh@gmail.com,ASHUTOSH KUMAR,"DAV Public School,","0326 ,2350333",JHARKHAND,Senior Secondary
"P.O.-Gidi-A, CCL, Argada Area. ,829108",31/03/2020,3430222,davpublicschoolgidia@rediffmail.com,MANOJ KUMAR SINHA,"DAV Public School,","91 ,9234368481",JHARKHAND,Senior Secondary
"AT/PO-TOPA COLLIERY, DISTT. RAMGARH (HAZARIBAGH), STATE-JHARKHAND ,825330",31/03/2018,3430310,davtopa2012@gmail.com,RAJENDRA PRASAD,"DAV PUBLIC SCHOOL, TOPA","0 ,9234368480",JHARKHAND,Secondary School
"Maheshpur Raj,Maheshpur,Dist-Pakur,Jharkhand, Pin-816106 ,816106",31/03/2021,3430370,davmaheshpur@gmail.com,MR.SANJEEV KUMAR MISHRA,"DAV PUBLIC SCHOOL,MAHESHPUR",",06423-228541",JHARKHAND,Secondary School
"Dayanand Adarsh Vidyalaya, P.O - Koriya, P.S - Chandankiyari, Jharkhand ,828134",31/03/2021,3430371,Davkoriya1@gmail.com,MR. SATYENDRA KUMAR OJHA,Dayanand Adarsh Vidyalaya,",06542-234012",JHARKHAND,Secondary School
"umesh nagar, chandil bhadubih p.o seraikela kheswan chandil. ,832401",31/03/2019,3430214,mary_tom@rediffmail.com,MARYKUTTY THOMAS,dayawati modi public school,"6591 ,232536",JHARKHAND,Senior Secondary
