S.No.,Affiliation No.,State,Name,Head,Status,Affiliated upto,Address,Phone No.,Email
22,2520081,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,RAM NARAYAN TIWARI,Secondary School,31/03/2010,"JIRKATANG 2 SOUTH ANADAMAN PORT BLAIR ,744206","3192 ,281574",ramnarayan.andaman@gmail.com
23,2520047,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,SUCIFAITH,Secondary School,31/03/2012,"BENGALI TERESSA ISLAND VIA ABERDEEN BAZAR PORT BLAIR A & N ISLANDS ,744104","3193 ,263225",monna.india@gmail.com
24,2520080,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,SUBINOY DEY,Secondary School,31/03/2009,"MOHANPUR V MAYABUNDER NORTH ANDEMAN ,744206",",",
25,2520079,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,SMT ASHA KUMARI,Secondary School,31/03/2017,"UTTARA KADAMTALA MIDDLE ANDEMAN ,744209","03192 ,50041",rnr@andaman.tn.nic.in
26,2520078,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,K VALLU,Secondary School,31/03/2007,"MILDERA II KATCHAL PORT BLAIR A & N ISLANDS ,",",",
27,2520084,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,SRI G VIJAYAN,Secondary School,31/03/2015,"PARANGARA KISHORI NAGAR PANCHAYAT, DY EDU OFFICE, NORTH ANDAMAN ,744206","03192 ,279034",gsssubashgram2@yahoo.co.in
28,2520007,ANDAMAN & NICOBAR,govt sec school (tamil & english),jawahar lal maurya(h.m),Secondary School,31/03/2014,"haddo post pt blair a & n islands ,744102","03192 ,32286",hmgss_htem10@rediffmail.com
29,2520062,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,H K ARYA,Secondary School,31/03/2017,"KAUSHALYA NAGAR RANGAT MIDDLE ANDAMAN ,744205","3192 ,215946",hemender2007@rediffmail.com
30,2520048,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,Mohammed Rafiqu,Secondary School,31/03/2008,"CHAINPUR P.O PUDUMADURAI MAYABUNDER VIA MIDDLE ANDAMAN A & N ISLANDS ,744204","3192 ,9474282282",mohammed.rafiqu@gmail.com
31,2520052,ANDAMAN & NICOBAR,govt secondary school,USHA KUMAR PALADUGU,Secondary School,31/03/2016,"ram nagar post digilipur via nth andaman a & n islands ,744202","0319 ,217755",gssrndp@gmail.com
32,2520027,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,Sudhansu Kumar Roy,Secondary School,31/03/2019,"GOVINDAPUR P O NIMBUDERA VIA-BETAPUR MIDDLE ANDAMAN A & N ISLANDS ,744201","3192 ,276067",sudhansuroy62@gmail.com
33,2520055,ANDAMAN & NICOBAR,govt secondary school,ABDUL SALIM,Secondary School,31/03/2018,"nimbutala (vill & po) middle andaman a & n islands ,744205","3192 ,215184",salimvp65@gmail.com
34,2520053,ANDAMAN & NICOBAR,govt secondary school,SOBHA ROY,Secondary School,31/03/2014,"gandhi nagar campbell bay great nicobar a & n islands ,744302","3193 ,264240",SOBHAROY1964@MAIL.COM
35,2520082,ANDAMAN & NICOBAR,govt secondary school,VIBHA SETHI,Secondary School,31/03/2014,"durgapur diglipur nth andaman andaman & nicobar island ,744206","0319 ,2272212",gss_durgapur@rediffmail.com
36,2520042,ANDAMAN & NICOBAR,govt secondary school,ANU RAJU,Secondary School,31/03/2015,"dairy farm p.o junglighat pt blair a & n islands ,744103","3192 ,231059",anujollyraju@gmail.com
37,2520038,ANDAMAN & NICOBAR,govt secondary school,R DEV DAS,Senior Secondary,31/03/2018,manglutan p.o,"3192 ,287311",gsssmanglutan@yahoo.com
38,2520072,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,SWAPNA DAS,Secondary School,31/03/2015,"KARMATANG NO 10 MAYABUNDER P.O A & N ISLANDS ,744204","0 ,0",swapnayaan@gmail.com
39,2520056,ANDAMAN & NICOBAR,govt secondary school,NATARAJAN,Secondary School,31/03/2016,"shivapuram village betapur post middle andaman a & n islands ,744201","3192 ,270092",tnatarajan65@gmail.com
40,2520051,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,BENDINUS,Secondary School,31/03/2007,"KAKANA CAR NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in
41,2520065,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,Mr. SHRI JITENDRA GUPTA,Secondary School,31/03/2014,"WEBI MAYABUNDER P.O NORTH ANDAMAN A & N ISLANDS ,744204","03192 ,276662",rnr@andaman.tn.nic.in
42,2520071,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,SH ALI,Secondary School,31/03/2009,"WESTBAY KATCHAL KATCHAL ISLANDS ANDAMAN & NICOBAR ISLANDS ,744304",",",rnr@andaman.tn.nic.in
43,2520086,ANDAMAN & NICOBAR,govt secondary school,c. a. polus,Secondary School,31/03/2015,"arong andaman & nicobar island ,744202","03193 ,265037",aronggss@gmail.com
44,2520054,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,Mr. MRN.K.TYAGI,Secondary School,31/03/2013,"MILETILAK VIA WIMBERLYGUNJ SOUTH ANDAMAN A & N ISLANDS ,744206","03192 ,281576",rnr@andaman.tn.nic.in
45,2520050,ANDAMAN & NICOBAR,govt secondary school,mr a ummar,Secondary School,31/03/2023,"adazig (po) alkatcha baratang island south andaman a & n islands ,744210","08301 ,43326",rnr@andaman.tn.nic.in
46,2520057,ANDAMAN & NICOBAR,govt secondary school,ashutosh mahanta,Secondary School,31/03/2015,"vivekanandapur via hutbay little andaman a & n islands ,744207","03192 ,282618",rnr@andaman.tn.nic.in
47,2520045,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,MR P K CHATTOPADHYAYA,Secondary School,31/03/2012,"VILLAGE MANPUR P.O.TUSHNABAD SOUTH ANDAMAN A & N ISLANDS ,744103","03192 ,282618",rnr@andaman.tn.nic.in
48,2520049,ANDAMAN & NICOBAR,govt secondary school,r p baghel,Secondary School,31/03/2019,"harmander bay little andaman a & n islands ,744207","03192 ,282618",rnr@andaman.tn.nic.in
49,2520041,ANDAMAN & NICOBAR,GOVT SECONDARY SCHOOL,SH C APOLUS,Secondary School,31/03/2010,"MUS CAR-NICOBAR A & N ISLANDS ,744301","03193 ,67223",rnr@andaman.tn.nic.in
50,2520043,ANDAMAN & NICOBAR,govt seni secondary school,mr. d. subbu lakshmi,Senior Secondary,31/03/2018,"laxmanpur neil kendra p.o. neil island south andaman a & n islands ,744104","03192 ,282618",gsss_neil@yahoo.co.in
51,2520028,ANDAMAN & NICOBAR,govt senior secondary school,m p singh,Senior Secondary,31/03/2019,"hut_bay p.o little andaman a & n islands ,744207","03192 ,84351",rnr@andaman.tn.nic.in
52,2520018,ANDAMAN & NICOBAR,GOVT SENIOR SECONDARY SCHOOL,AMJAD HUSSAIN,Senior Secondary,31/03/2013,"ORALKATCHA BARATANG ISLAND MIDDLE ANDAMAN A & N ISLANDS ,744210","03192 ,77064",rnr@andaman.tn.nic.in
53,2520037,ANDAMAN & NICOBAR,GOVT SENIOR SECONDARY SCHOOL,MRS CHRISTINE SAMUEL RUFUS,Senior Secondary,31/03/2007,"MALACCA CAR-NICOBAR A & N ISLANDS ,744301","03193 ,5275",rnr@andaman.tn.nic.in
54,2520035,ANDAMAN & NICOBAR,GOVT SENIOR SECONDARY SCHOOL,GIRIJA RANI KR,Senior Secondary,31/03/2020,"MANNARGHAT WIMBERLYGUNJ P.O SOUTH ANDAMAN A & N ISLANDS ,744206","3192 ,255937",girijarani1709@gmail.com
55,2520033,ANDAMAN & NICOBAR,GOVT SENIOR SECONDARY SCHOOL,INDIRA DEVI,Senior Secondary,31/03/2015,"RANGA CHANG BIMLITON P.O VIA JUNGLIGHAT SOUTH ANDAMAN A & N ISLANDS ,744103","3192 ,281002",indiradevi5260@gmail.com
56,2520017,ANDAMAN & NICOBAR,govt sr sec school,USHA KUMAR PALADUGU,Senior Secondary,31/03/2015,"kalighat p.o nth andaman a & n islands ,744204","3192 ,278023",gssskg@gmail.com
57,2520008,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,SULOCHANA,Senior Secondary,31/03/2021,"MAYABUNDER NORTH ANDAMAN A & N ISLANDS ,744204","3192 ,273216",sulochana065@gmail.com
58,2520013,ANDAMAN & NICOBAR,govt sr sec school,RITA BANERJEE,Senior Secondary,31/03/2019,"rangat middle andaman middle andaman ,744205","3192 ,274242",ritabanerjee.portblair@gmail.com
59,2520011,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,P C MONDAL,Senior Secondary,31/03/2020,"HAVELOCK P O HAVELOCK-3 SOUTH ANDAMAN A & N ISLANDS ,744211","0319 ,2282382",mandal.prabhash1961@gmail.com
60,2520059,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,RITA RANI BISWAS,Senior Secondary,31/03/2015,"MOHANPURA PORT BLAIR A & N ISLANDS ,744101","3192 ,233847",gsssmohanpura@gmail.com
61,2520016,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,HARISH CHANDRA RAI,Senior Secondary,31/03/2017,"BAKULTALA P O BAKULTALA MIDDLE ANDAMAN A & N ISLANDS ,744208","3192 ,277536",harishchandrarai1961@gmail.com
62,2520015,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,SUNITA CHAKRABORTY,Senior Secondary,31/03/2014,"KADAMTALA VILLAGE & P O MIDDLE ANDAMAN A & N ISLANDS ,744209","3192 ,267064",sunitachakraborthyvp14@gmail.com
63,2520039,ANDAMAN & NICOBAR,govt sr sec school,ANAND KUMARI,Senior Secondary,31/03/2017,"garacharama south andaman a & n islands ,744101","3192 ,250337",garacharmagsss2013@gmail.com
64,2520023,ANDAMAN & NICOBAR,govt sr sec school,VT REDDY,Senior Secondary,31/03/2016,"school line junglighat p.o pt blair south andaman a & n islands ,744103","3192 ,232836",vtreddy1962@gmail.com
65,2520022,ANDAMAN & NICOBAR,govt sr sec school,LATA SINGH,Senior Secondary,31/03/2014,"campbell bay great nicobar a & n islands ,744302","3193 ,264240",latasingh58@gmail.com
66,2520040,ANDAMAN & NICOBAR,govt sr sec school,RITA TEWARI,Senior Secondary,31/03/2014,"vijay nagar campbell bay great nicobar a & n islands ,744302","3193 ,9434298502",ritatewari720@gmail.com
67,2520026,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,T N SINGH,Senior Secondary,31/03/2011,"LONG ISLAND POST MIDDLE ANDAMAN A & N ISLANDS ,744203","03192 ,78516",rnr@andaman.tn.nic.in
68,2520019,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,S R SINGH,Senior Secondary,31/03/2005,"SAWAI CAR-NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in
69,2520020,ANDAMAN & NICOBAR,govt sr sec school,g c chakrabty,Senior Secondary,31/03/2015,"ramkrishnapur post via hutbay little andaman a & n islands ,744207","03192 ,88039",rnr@andaman.tn.nic.in
70,2520024,ANDAMAN & NICOBAR,govt sr sec school,ARCHANA SINGH,Senior Secondary,31/03/2016,"pt mout p.o chouldari south andaman a & n islands ,744103","3192 ,289443",archanasinghgssspm@gmail.com
71,2520021,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,SH H NATHANIEL,Senior Secondary,31/03/2007,"LAPATHY CAR-NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in
72,2520036,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,SH NATHANIEL,Senior Secondary,31/03/2007,"CHAMPIN NANCOWRIE P.O. A & N ISLANDS ,744303",",",rnr@andaman.tn.nic.in
73,2520029,ANDAMAN & NICOBAR,GOVT SR SEC SCHOOL,MR M P SINGH,Senior Secondary,31/03/2007,"KAPANGA KATCHAL ISLANDS NICOBAR DISTRICT A & N ISLANDS ,744304",",",rnr@andaman.tn.nic.in
74,2520005,ANDAMAN & NICOBAR,govt sr sec school (hindi medium),mr s r singh,Senior Secondary,31/03/2014,"haddo post pt blair a & n islands ,744102","03192 ,34838",rnr@andaman.tn.nic.in
75,2520006,ANDAMAN & NICOBAR,govt sr sec school (telugu medium),mr. mananjan ghosh,Senior Secondary,31/03/2014,"haddo post pt blair a & n islands ,744102","03192 ,232671",bujji_hado@yahoo.co.in
76,2520014,ANDAMAN & NICOBAR,govt sr secondary school,SURESH CHANDRA MAZUMDER,Senior Secondary,31/03/2019,"swadesh nagar p.o. middle andaman a & n islands ,744201","0319 ,270781",gsssswadeshnagar@rediffmail.com
77,2520058,ANDAMAN & NICOBAR,GOVT SR SECONDARY SCHOOL,P ABDUL REHMAN,Senior Secondary,31/03/2014,"TUSNABAD PORT BLAIR SOUTH ANDAMAN A & N ISLANDS ,744103","3192 ,",gsss_tb.and@nic.in
78,2520012,ANDAMAN & NICOBAR,govt sr secondary school,S GURUMOORTHY,Senior Secondary,31/03/2020,"diglipur nth andaman a & n islands ,744202","3192 ,272224",
79,2520070,ANDAMAN & NICOBAR,govt sr secondary school,LOCHAN SINGH,Senior Secondary,31/03/2014,"sabri jn. middle middle andaman ,744205","3192 ,274205",principal.sab@gmail.com
80,2520030,ANDAMAN & NICOBAR,GOVT SR SECONDARY SCHOOL,APARNA CHAKRABORTY,Senior Secondary,31/03/2015,"PAHALGAON P O TOGAPUR VIA MAYABUNDER MIDDLE ANDAMAN A & N ISLANDS ,744204","3192 ,276671",chakraborty17aparna@gmail.com
81,2520009,ANDAMAN & NICOBAR,govt sr. sec school,RITA TIWARI,Senior Secondary,31/03/2018,"wimberlygunj p.o south andaman a & n islands ,744206","3192 ,255254",gssswimberlygunj@gmail.com
82,2520025,ANDAMAN & NICOBAR,govt sr. secondary school,RENU KALA,Senior Secondary,31/03/2014,"bambooflat p.o south andaman a & n islands ,744107","3192 ,255752",gsss_bf@yahoo.com
83,2520044,ANDAMAN & NICOBAR,GOVT SR.SECONDARY SCHOOL,VARGHESE CHACKO,Senior Secondary,31/03/2019,"BATHUBASTI POST GARACHARAMA POST VIA PORT BLAIR SOUTH ANDAMAN A & N ISLANDS ,744101","0319 ,3192252199",varghesechacko@gmail.com
84,2520064,ANDAMAN & NICOBAR,govt. demonstration multi purpose,n r khan,Secondary School,31/03/2018,"school middle point pt blair a & n islands ,744101","03192 ,34730",rnr@andaman.tn.nic.in
85,2520088,ANDAMAN & NICOBAR,GOVT. MODEL SEC. SCHOOL,K. SANKARAN,Secondary School,31/03/2018,"KAMORTA, NANCOWRY, DISTT. NICOBAR, A & N ISLAND ,744303",",03192272071",KSANKARAN123@GMAIL.COM
86,2520085,ANDAMAN & NICOBAR,govt. model sr. sec. school,ASHOK KUMAR TIWARI,Senior Secondary,31/03/2020,"sita nagar, diglipur, nth & middle andaman ,744202","0319 ,2271044",sitanagarprincipal@yahoo.com
87,2520061,ANDAMAN & NICOBAR,govt. secondary school,B V R REDDY,Secondary School,31/03/2019,"keralapuram diglipur aerial bay po nth andaman a & n islands ,744202","0 ,0",bvrreddy91@gmail.com
88,2520067,ANDAMAN & NICOBAR,govt. secondary school,BHAGIRATH ROY,Secondary School,31/03/2018,"p.o. calicut pt blair south andamans ,744103","3192 ,260041",gsscalicut41@gmail.com
89,2520010,ANDAMAN & NICOBAR,govt. secondary school,MOHD HANEEFA,Secondary School,31/03/2020,"laxmipur nth andaman a & n islands ,744202","3192 ,271390",hanifam63@gmail.com
90,2520066,ANDAMAN & NICOBAR,govt. secondary school,SHYAMAL MAZUMDAR,Secondary School,31/03/2015,"south point shadipur post ptblair a & n islands ,744106","3192 ,229361",shyamalmazumdar102@gmail.com
91,2520089,ANDAMAN & NICOBAR,GOVT. SECONDARY SCHOOL,SH. K SANKARAN,Secondary School,31/03/2018,"KUITASUKH, CHOWRA, ISLAND, NANCOWRY, A & N ISLAND ,","03193 ,263225",gsskuitasuk@gmail.com
92,2520063,ANDAMAN & NICOBAR,GOVT. SECONDARY SCHOOL,AMJAD HUSSAIN,Secondary School,31/03/2007,"PILPILLOW NANCOWRIE A & N ISLANDS ,744303",",",rnr@andaman.tn.nic.in
93,2520060,ANDAMAN & NICOBAR,GOVT. SECONDARY SCHOOL,Mr. DEEPAK KUMAR PAUL,Secondary School,31/03/2015,"PASCHIM SAGAR DIGLIPUR NORTH ANDAMAN A & N ISLANDS ,744202","03192 ,272148",rnr@andaman.tn.nic.in
94,2530018,ANDAMAN & NICOBAR,IQRA PUBLIC SCHOOL,Mohan Kumar Das,Secondary School,31/03/2018,"WIMBERLY GUNJ SOUTH ANDAMAN FERRAR GUNJ SOUTH ANDAMAN ,744206","3192 ,255375",ashapb1984@gmail.com
95,2540001,ANDAMAN & NICOBAR,jawahar navodaya vidyalaya,SACHIN D KHARAT,Secondary School,31/03/2018,"arong car nicobar po nicobar distt a & n islands 744301 a & n islands ,744301","0 ,3192292804",sachinkharat81@rediffmail.com
96,2540002,ANDAMAN & NICOBAR,JAWAHAR NAVODAYA VIDYALAYA,P RAMACHANDRAN,Senior Secondary,31/03/2018,"PANCHAWATI RANGAT P.O DISTT NORTH & MIDDLE ANDAMAN A & N ISLANDS ,744205","3192 ,279092",canaikker@gmail.com
97,2530006,ANDAMAN & NICOBAR,KAMARAJ ENG MED SCHOOL,V S BEENA,Senior Secondary,31/03/2019,"ABERDEEN BAZAR P B NO 157 PORT BLAIR A & N ISLANDS ,","3192 ,261526",beenasantosh2001@gmail.com
98,2500002,ANDAMAN & NICOBAR,KENDRIYA VIDYALAYA NO.2,VIJAY KUMAR,Senior Secondary,31/03/2021,"RAKSHA VIHAR MINNIE BAY PORT BLAIR A & N ISLANDS ,744103","3192 ,225093",thekumarvijay@rediffmail.com
99,2500001,ANDAMAN & NICOBAR,KENDRIYA VIDYALAYA NO.I,C RAJI,Senior Secondary,31/03/2018,"NEAR ABERDEEN BAZAR PORT BLAIR A & N ISLANDS ,744101","3192 ,232411",kvportblair1@gmail.com
100,2530016,ANDAMAN & NICOBAR,Khalsa Public School,SARABJEET KAUR JAGPAL,Senior Secondary,31/03/2020,"Gurudwara Dr.Diwan Singh Complex, PORT BLAIR. ANDAMAN ,744101","3192 ,242839",sarab1971@rediffmail.com
101,2530004,ANDAMAN & NICOBAR,M E S SCHOOL,T HAMZA,Senior Secondary,31/03/2019,"AZAD NAGAR STEWART GUNJ BAMBOOFLAT SOUTH ANDAMAN ,744107","3192 ,255251",mes_sg@yahoo.com
102,2530019,ANDAMAN & NICOBAR,"M.E.S. SCHOOL, Salah Nagar, Ograbraj",PUNAM DUNG DUNG,Secondary School,31/03/2019,"OGRABRAJ ,744103","3192 ,255270",twahab.mes@gmail.com
103,2530008,ANDAMAN & NICOBAR,MAHATMA GANDHI INTERNATIONAL SCHOOL,Augustina barla,Senior Secondary,31/03/2020,"BROOKSHABAD POST BOX 474 JANGLIGHAT PORT BLAIR-474 ,744107","0319 ,262333",mgispb@gmail.com
104,2580001,ANDAMAN & NICOBAR,NAVY CHILDREN SCHOOL,Mrs. ANITA DEVI,Senior Secondary,31/03/2022,"MINNIE BAY PORT BLAIR PO JUNGLIGHAT ANDAMAN & NICOBAR ISLANDS ,744103","03192 ,200827",npspb@yahoo.co.in
105,2530002,ANDAMAN & NICOBAR,NIRMALA SR SEC SCHOOL,CAROLINE MATHEW,Senior Secondary,31/03/2019,"HADDO POST PORT BLAIR A & N ISLANDS ,744102","3192 ,232915",joyline10@gmail.com
106,2530020,ANDAMAN & NICOBAR,SAGRITARA SCHOOL,PREETY KUJUR,Secondary School,31/03/2020,"PREM NAGAR, P.O. HADDO ,744102","3192 ,232515",kujurpreety@gmail.com
107,2530009,ANDAMAN & NICOBAR,SARASWATI SHISHU MANDIR,SURAJ PRAKASH,Senior Secondary,31/03/2020,"PATHER GUDDA GARACHARMA PORT BLAIR ANDAMAN NICOBAR ISLAND ,110085","03192 ,250331",crpfps@del2.vsnl.net.in
108,2530010,ANDAMAN & NICOBAR,st. mary's school,ACHAMMA KURIAKOSE,Senior Secondary,31/03/2019,"garacharma, bathubasti, pt blair, ,744101","0319 ,251834",achammakuriakose@rediffmail.com
109,2530017,ANDAMAN & NICOBAR,"St. Xavier School,(ENGLISH MEDIUM MIDDLE SCHOOL)",Milan Thomas Aruj,Secondary School,31/03/2016,"MANNARGHAT, FERRARGUNJ SOUTH ANDAMAN ,744206","3192 ,255510",milan.aruj@gmail.com
110,2530007,ANDAMAN & NICOBAR,UMMAT PUBLIC SCHOOL,K KAMARAJ,Senior Secondary,31/03/2019,"MOHATMA GANDHI ROAD MIDDLE POINT ABERDEEN BAZAR PORT BLAIR (A&N ISLAND) ,744101","3192 ,261686",kamaraj_ups@rediffmail.com
111,2530012,ANDAMAN & NICOBAR,VITALA PUBLIC SCHOOL,JAGADAMMA P K,Senior Secondary,31/03/2019,"HOPE TOWN BAMBOO FLAT, SOUTH ANDAMAN FERRARGUNG PORTBLAR ,744107","3192 ,258294",jayanair66@yahoo.com
112,2520092,ANDAMAN & NICOBAR,vivekanand kendra zila prishad vidyalaya,SANJAY SINGH,Secondary School,31/03/2018,"basnti pur nth and middle andaman po nimbudera andaman and nicobar 744201 ,492001","3192 ,276101",sssanju76@gmail.com
113,2520096,ANDAMAN & NICOBAR,vivekananda kendra nagarpalika vidyalaya,PRINCIPAL,Secondary School,31/03/2019,"ranchi tekri, p.o. junglighat, pt blair, distt. south andaman, andaman & nicobar island pin-744103 ,",",",
114,2530011,ANDAMAN & NICOBAR,VIVEKANANDA KENDRA VIDYALAYA,CH SHANMUGA RAO,Secondary School,31/03/2016,"P.B.No.-501, Jungli Ghat Post,Port Blair Andaman & Nicobar Island ,744104","3192 ,274116",shanmugarao444@gmail.com
115,2530003,ANDAMAN & NICOBAR,VIVEKANANDA KENDRA VIDYALAYA,S VIJAYAKUMAR,Senior Secondary,31/03/2019,"LAMBA LINE POST BOX NO.501 JUNGLIGHAT P.O PORT BLAIR A & N ISLANDS ,744103","3192 ,233426",svkvkv@gmail.com
116,2520091,ANDAMAN & NICOBAR,vivekananda kendra zilla parishad vidyalaya,KAMAL CHANDRA DAS,Secondary School,31/03/2018,"pahalgaon, po tugapur, maya bunder, village, pahalgaon, nth & middle andaman ,744204","3192 ,276748",vkzpvpahalgaon@gmail.com
117,2520097,ANDAMAN & NICOBAR,"vivekananda kendra zilla parishad vidyalaya,",.,Secondary School,31/03/2020,"kadamtala, vill & post- kadamtala, middle andaman, pin- 744 209, andaman & nicobar island ,",",",
118,2520095,ANDAMAN & NICOBAR,"vivekananda kendra zilla parishad vidyalaya, diglipur",-,Senior Secondary,31/03/2017,"r.k. gram ,744202","03825 ,09436486938",emrsrajnagar@gmail.com
119,2520093,ANDAMAN & NICOBAR,"vivekananda kendra zilla parishad vidyalaya, pt mout",SITA DAS,Senior Secondary,31/03/2018,"p.o. chouldari, port mout, near g s s school, dist. tehsil farargunj south andaman pin 744103 ,744103",",03192220215",ptblair@vkendra.g
